m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,sex,age
4,5,5,5,4,4,3,4,1,3,4,4,5,5,4,5,5,5,5,5,5,5,5,4,5,5,4,3,5,4,4,5,1,56
4,4,5,4,4,3,,,4,5,4,4,4,5,4,4,4,4,4,5,5,5,4,5,4,4,4,3,4,3,5,4,1,62
5,2,4,3,5,4,5,5,4,5,2,5,3,4,5,5,5,5,5,5,5,5,5,3,3,4,5,5,5,5,5,5,,
2,2,2,2,3,3,3,3,3,1,2,2,2,2,2,,2,2,4,3,3,3,2,2,2,3,2,1,2,2,2,3,1,47
4,3,4,3,3,4,3,2,3,2,2,4,4,3,4,4,2,4,4,4,4,4,2,3,2,3,3,3,3,4,3,4,1,51
5,4,5,4,3,3,2,4,4,2,3,4,4,,5,3,5,2,4,3,4,2,3,3,4,4,4,2,4,4,3,4,1,51
5,4,4,3,4,4,4,5,4,3,4,4,4,5,3,3,5,3,5,3,4,3,4,4,4,4,4,4,3,5,5,5,1,39
4,4,3,4,4,3,3,3,3,4,5,5,5,5,4,4,5,5,5,4,5,5,5,5,5,5,4,3,5,5,4,5,,
4,5,5,4,5,5,4,5,4,4,4,5,2,4,5,4,4,4,5,5,5,5,5,4,3,5,5,4,4,5,5,5,1,51
4,5,5,5,5,1,3,3,4,2,5,3,5,5,5,3,5,,5,,,3,5,4,,3,3,2,4,5,4,5,1,50
4,4,4,3,4,3,3,4,3,4,3,4,4,4,4,4,5,5,5,5,5,5,4,4,2,4,4,4,4,4,4,5,,
5,5,4,1,2,0,0,0,0,0,1,4,1,4,1,5,2,4,4,4,4,4,2,2,3,2,3,3,4,1,2,4,1,40
4,4,4,4,4,4,5,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,3,4,4,4,4,5,4,5,1,43
5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,1,53
5,5,5,5,5,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,58
4,4,4,5,4,4,4,4,1,4,5,3,4,4,5,4,5,4,5,3,3,2,3,5,4,3,5,3,3,3,,5,,
5,5,2,4,4,1,2,4,4,4,5,3,4,5,5,4,5,3,1,4,5,5,2,4,4,2,2,1,2,1,1,5,1,53
5,5,5,5,4,2,,3,4,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,4,5,5,3,5,5,5,5,1,52
4,5,5,,2,1,2,4,3,3,,,5,2,2,3,5,0,4,4,,,3,5,4,3,2,2,3,4,,4,,
5,4,4,5,4,2,3,4,4,4,4,3,3,5,4,4,5,4,4,5,3,5,4,4,4,4,4,5,4,4,5,4,1,60
3,3,2,3,4,3,4,4,4,3,3,2,3,3,3,3,,,,,,,,,,,,,,,,,,
5,5,4,3,3,3,3,4,4,3,3,3,3,5,5,5,5,5,4,5,5,5,3,4,5,4,3,2,4,4,5,5,,
5,5,4,4,4,4,3,3,4,3,3,3,3,4,5,5,5,3,3,5,3,4,3,5,3,4,4,2,4,4,4,5,1,51
5,5,4,5,5,1,4,5,2,4,3,5,4,3,5,3,5,5,5,5,5,5,4,5,4,5,4,2,4,4,4,5,1,60
2,3,3,2,3,2,2,3,3,3,2,2,3,3,3,2,3,4,3,4,4,3,2,2,2,3,2,2,3,3,3,3,1,54
5,5,4,2,3,3,3,3,1,2,2,3,5,3,3,3,4,3,5,5,5,5,2,1,1,2,3,2,4,2,2,4,1,54
4,4,4,4,3,3,3,3,3,3,3,2,4,3,4,3,4,3,3,4,4,4,2,4,3,4,2,2,2,3,3,3,,
4,4,4,5,3,2,4,4,3,2,4,4,4,4,4,4,5,5,3,5,5,4,4,4,4,4,4,3,4,5,4,4,1,57
4,5,4,5,5,5,0,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,4,4,4,4,4,2,2,5,5,5,2,53
4,5,3,4,4,4,5,3,3,3,2,2,4,4,2,4,4,5,5,3,4,5,4,3,4,2,5,3,4,5,4,4,,
3,4,3,3,3,2,3,4,4,4,3,,4,,2,,,,2,2,,2,1,2,4,2,1,0,5,5,4,4,2,41
2,,,3,1,3,1,2,4,2,3,4,3,4,,3,,3,3,4,4,4,2,4,3,2,3,,2,5,4,4,,
4,2,3,4,2,3,1,3,3,3,5,4,5,3,4,4,3,5,2,4,4,4,3,4,4,3,4,2,3,3,3,5,2,44
5,5,5,2,1,2,0,0,1,3,2,,2,0,2,,0,5,5,3,,1,0,1,0,0,2,0,3,0,0,3,1,31
5,4,,4,2,,1,4,3,3,4,,2,3,3,3,1,5,2,4,4,4,2,4,3,1,3,1,4,5,4,4,1,30
2,4,2,2,1,3,2,0,1,3,1,1,2,2,2,4,2,4,2,4,4,4,1,3,2,2,1,0,3,2,5,5,1,46
3,4,4,2,0,1,0,2,4,5,3,3,4,3,3,3,2,3,4,2,4,5,1,2,1,2,2,1,2,3,3,3,1,30
3,4,2,3,3,1,1,3,2,2,1,2,2,2,2,2,,,,,,,,,,,,,,,,,,
4,5,5,4,1,3,1,1,1,1,5,4,3,5,3,5,,5,4,5,5,5,3,3,2,4,5,3,4,4,4,4,1,23
3,4,4,3,3,3,2,3,4,3,3,4,3,3,3,3,3,4,3,4,3,3,2,2,2,2,2,2,2,4,4,4,1,50
2,3,1,2,0,3,1,3,4,3,2,2,1,3,3,2,1,3,4,2,3,1,2,1,1,1,1,0,2,0,1,2,2,38
3,4,0,1,3,2,2,1,4,2,2,2,5,2,2,,2,4,4,3,2,1,,2,3,,3,3,5,,,5,,
5,4,4,5,4,3,5,4,4,4,4,4,5,5,5,5,5,5,4,5,4,4,5,5,5,5,4,3,4,4,4,5,1,50
4,5,4,4,3,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,5,5,3,4,4,4,5,4,4,4,3,5,1,31
4,4,4,3,3,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,2,2,,3,,4,5,,4,1,63
4,5,3,4,3,3,4,3,3,1,2,2,4,3,4,2,1,3,2,4,4,4,1,2,2,2,2,1,4,4,3,4,1,51
4,4,4,3,3,2,2,2,3,2,4,3,3,3,2,3,3,2,3,5,4,4,4,3,4,4,4,3,3,3,4,3,1,25
3,3,3,3,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,
4,5,,4,3,4,4,0,3,2,0,,2,0,,1,,5,4,5,,5,1,3,0,0,4,3,3,3,,3,1,38
4,5,5,4,2,1,2,4,3,3,4,3,3,4,4,3,4,3,4,4,5,4,3,2,3,3,4,2,4,3,3,3,1,28
3,4,4,5,1,5,0,1,0,3,4,0,5,4,0,3,5,0,0,5,5,5,5,5,5,0,5,2,3,5,5,4,1,31
3,4,4,3,3,3,1,1,2,2,2,4,2,2,2,4,2,4,4,4,5,4,2,3,3,3,4,3,4,4,4,4,1,51
4,5,,,,4,0,5,4,1,3,2,0,2,2,,2,5,,2,,5,0,,,,5,,5,5,5,2,1,38
2,2,3,2,3,3,3,3,3,2,3,2,2,,2,3,2,2,2,3,3,3,3,3,,,2,,2,3,,2,2,59
3,4,4,3,3,1,1,1,3,3,2,3,3,3,3,3,4,5,4,5,3,5,4,5,2,5,4,3,4,5,5,3,1,62
4,4,3,2,1,1,0,3,4,4,,2,4,3,4,4,4,4,4,3,2,2,2,2,1,2,2,2,1,2,2,2,2,35
3,3,3,1,3,1,2,1,4,2,0,2,2,2,2,2,2,,2,4,1,4,4,2,1,1,2,2,2,3,3,2,2,32
3,3,2,1,1,2,1,4,4,3,1,3,3,2,2,2,1,3,2,3,1,3,2,2,1,1,1,1,1,2,3,3,2,30
4,4,4,0,4,2,2,1,3,3,2,4,5,2,2,1,2,4,5,4,,4,2,4,4,4,1,1,2,5,3,2,2,33
4,3,4,2,2,1,0,2,2,2,2,3,3,2,3,3,3,5,4,4,3,5,3,3,3,3,3,2,3,5,3,4,1,36
4,4,2,2,1,3,1,4,3,2,2,1,4,2,2,1,1,3,2,3,4,3,1,2,2,2,2,2,2,3,2,2,1,51
2,4,1,3,4,2,2,1,1,2,1,3,2,2,2,2,1,0,1,0,0,0,0,2,0,0,0,0,2,2,1,4,1,34
3,4,2,3,1,2,1,3,3,1,2,1,2,2,2,3,1,3,3,2,2,2,2,2,2,1,2,1,1,3,2,3,1,43
4,5,4,4,4,4,1,1,0,1,,2,1,5,,5,2,4,,2,2,2,4,2,,,1,,,4,,4,2,31
2,3,2,2,3,3,2,4,1,2,3,1,1,2,2,3,2,2,4,4,3,3,1,2,2,2,1,2,1,2,1,1,1,26
3,5,3,3,3,1,1,0,3,1,1,2,4,2,,1,,,2,1,3,2,0,1,0,1,2,1,2,5,2,4,1,28
1,5,4,3,2,2,2,1,1,1,2,2,3,2,2,2,2,5,3,4,4,4,1,2,2,2,2,2,2,3,2,2,2,28
3,3,3,2,3,2,2,3,3,3,2,3,3,3,3,3,3,2,2,3,3,5,3,3,3,2,2,2,3,2,2,3,2,34
4,3,3,2,2,2,3,2,3,2,2,3,2,2,3,3,4,4,3,4,3,4,4,4,3,4,3,3,3,3,3,4,1,29
5,5,4,5,3,4,0,0,1,4,5,4,3,4,4,5,4,5,5,5,5,5,5,5,4,4,4,4,4,5,5,4,1,21
3,4,4,4,1,1,0,1,2,4,1,1,4,1,2,2,2,3,3,3,,3,1,2,3,3,3,2,4,3,4,2,1,30
3,4,2,1,3,3,2,2,2,2,4,3,3,2,4,4,3,3,3,3,3,3,3,2,3,3,3,3,2,5,3,3,2,20
2,3,2,3,2,3,1,1,2,3,2,2,2,2,4,3,2,4,3,3,4,3,1,3,2,2,4,2,1,4,2,4,1,36
3,5,3,3,4,3,0,1,0,1,2,2,2,3,4,2,2,5,5,5,5,5,3,3,4,2,4,3,4,4,3,5,1,54
1,5,2,3,2,3,3,1,1,2,3,2,0,1,2,1,2,5,4,4,5,4,2,3,1,0,2,2,2,3,3,4,1,22
3,3,4,4,2,2,2,3,2,3,4,3,4,3,4,4,4,3,3,4,3,3,3,4,4,3,4,2,3,4,3,4,2,58
2,2,2,4,3,,2,4,3,4,3,3,2,2,,2,2,2,4,4,5,4,3,2,2,1,2,1,,2,1,1,2,41
5,3,2,2,3,4,4,5,3,5,3,2,3,2,3,4,2,2,3,4,4,4,3,2,2,4,3,2,0,3,2,4,2,55
4,4,3,2,2,1,0,3,1,1,2,2,4,3,2,2,2,4,5,5,5,5,2,3,2,3,3,2,3,4,2,3,1,40
3,4,3,2,3,2,1,3,3,3,2,4,3,5,4,2,3,2,3,3,3,2,4,2,2,2,3,3,3,3,3,3,2,68
4,5,5,4,4,3,2,0,0,1,2,3,3,2,2,3,2,5,4,4,4,4,2,2,4,3,3,2,3,2,3,3,1,24
,4,,4,2,1,3,,1,2,3,2,2,1,,3,,3,2,,2,4,2,,2,3,3,0,,,,2,1,25
4,3,4,3,4,3,2,4,4,1,1,4,1,2,4,3,3,3,4,3,4,4,2,4,3,3,3,2,3,4,3,4,2,36
5,4,4,3,3,1,2,1,0,2,3,3,4,4,4,4,4,4,4,5,4,5,3,4,4,3,4,3,3,4,3,5,1,55
4,5,2,2,1,1,2,0,1,2,2,4,5,3,3,2,4,3,4,4,2,4,1,2,1,1,1,1,2,4,1,3,2,35
3,4,4,4,2,2,2,3,4,3,4,4,3,3,3,3,4,3,3,3,4,4,4,4,3,4,3,3,5,5,4,5,2,61
4,4,4,4,1,1,1,0,0,5,3,4,3,4,3,5,3,3,4,3,3,4,4,4,2,4,3,3,2,4,2,3,2,20
3,3,2,2,2,3,3,2,2,2,2,3,3,2,2,2,2,1,3,3,2,3,2,2,3,2,3,1,2,2,2,3,1,61
3,4,4,4,4,0,0,2,1,0,,2,2,4,,1,4,5,1,0,0,2,5,1,1,1,3,0,4,5,5,4,2,21
3,5,5,3,3,3,4,3,3,1,2,1,1,2,2,1,3,2,4,4,4,4,3,3,4,3,3,4,5,3,2,3,1,28
4,5,3,3,2,1,2,1,2,3,1,2,2,2,2,1,1,2,2,4,4,3,1,1,3,3,2,2,3,2,1,2,1,34
2,1,4,2,1,3,2,1,3,3,3,3,4,2,2,2,2,2,2,3,3,4,3,3,3,3,3,2,3,5,5,4,1,21
1,3,2,4,2,2,1,2,1,2,1,1,2,2,1,3,1,3,2,2,4,2,1,1,1,1,1,1,1,1,1,2,1,40
4,4,4,4,1,1,1,1,1,4,4,4,4,4,4,4,5,4,5,5,4,5,4,5,4,4,5,4,5,5,5,4,1,46
3,3,4,4,4,3,2,3,2,2,3,2,4,2,2,3,2,3,3,4,3,3,3,2,2,1,2,1,2,3,,3,2,53
3,4,4,3,3,1,3,3,3,4,3,3,3,3,3,3,,2,2,1,2,2,2,4,2,,2,1,2,4,2,2,2,54
4,5,4,2,5,4,1,0,0,1,1,2,2,,1,,1,4,4,3,2,4,1,1,1,1,4,2,2,3,2,2,1,25
4,4,2,4,1,1,2,0,3,2,1,2,2,2,2,3,2,5,5,5,5,4,4,3,4,3,2,0,2,3,4,4,2,34
4,4,1,2,0,1,1,3,2,2,2,2,3,2,3,2,1,3,3,3,2,1,1,0,0,0,1,1,0,1,1,2,2,31
1,3,,1,3,3,2,2,1,1,1,1,2,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,26
3,4,3,4,1,4,0,1,1,1,1,2,2,1,1,1,1,5,5,5,5,5,1,1,1,1,2,0,1,1,1,2,,
1,4,1,2,,,4,4,5,4,3,,2,,,1,3,0,3,1,3,1,2,2,3,1,3,1,1,4,2,4,2,31
3,4,3,4,1,2,1,0,3,4,0,0,3,1,0,0,0,4,4,4,4,4,2,2,3,3,1,0,0,3,3,4,2,36
5,5,2,5,3,3,0,0,0,1,1,1,2,2,3,3,3,3,4,4,4,4,1,1,2,1,2,2,1,1,1,1,2,47
3,4,,3,1,4,2,0,1,1,,1,1,3,4,3,5,0,4,5,,,1,5,4,4,1,0,0,2,1,3,,
5,5,5,5,5,5,3,5,3,2,2,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,2,2,5,5,5,,
2,4,1,5,0,4,0,1,4,4,0,1,1,1,0,0,0,4,5,4,5,4,0,0,2,0,0,0,0,1,1,4,,
3,3,3,,2,3,2,2,4,4,1,1,2,1,1,,1,3,,3,4,3,1,1,0,1,,0,,2,,3,,
2,3,1,3,2,3,2,1,3,2,1,1,2,1,1,1,2,1,1,1,2,1,0,0,1,1,1,0,0,1,2,2,1,23
,2,,2,1,1,0,0,3,3,1,0,4,2,2,,,1,1,,1,,0,1,1,1,0,0,0,1,1,0,2,49
2,1,,1,,1,1,2,5,,,2,4,,,3,2,4,1,3,0,4,1,3,3,1,,0,0,,,4,2,55
,,,2,2,2,2,1,1,1,3,2,2,,,,,3,1,4,4,4,1,3,2,2,2,1,2,3,4,4,,
4,3,2,2,,2,2,,2,,0,0,1,1,1,,0,1,1,2,4,4,1,0,0,0,1,0,0,4,3,3,,
4,5,5,5,0,1,1,1,3,3,4,2,5,4,3,2,2,5,5,4,5,5,4,2,2,2,2,2,2,3,3,3,,
5,5,2,5,4,1,0,1,1,2,2,1,2,2,3,2,4,4,5,5,5,5,1,5,3,4,3,3,3,4,4,5,,
1,3,,5,1,3,0,1,4,4,0,1,1,1,0,,0,2,4,4,4,4,0,0,1,1,1,1,1,,,4,1,48
3,4,4,2,2,2,4,4,2,2,,2,3,,,3,3,3,3,4,3,,4,,,,3,1,2,4,4,4,1,53
4,5,0,1,0,1,0,1,4,5,0,0,1,,,0,0,3,4,4,4,4,0,1,0,0,1,0,2,0,0,3,2,50
1,2,0,3,1,1,1,1,4,2,1,1,1,1,1,1,1,3,1,4,4,4,4,3,4,1,0,0,0,2,2,1,,
2,3,3,,1,4,1,0,3,3,,1,,,,,,3,2,3,,2,0,,1,2,1,1,1,1,0,1,2,55
1,4,1,2,4,4,3,5,2,2,5,5,5,5,5,5,5,2,4,5,5,5,1,3,5,5,4,0,2,2,3,5,,
4,4,,4,1,3,1,2,2,1,1,1,5,2,,,,4,4,4,4,3,0,,,,,,,,3,,,
4,5,3,5,2,1,1,4,2,2,1,1,4,,2,2,1,4,4,4,5,5,4,2,3,2,1,1,1,2,2,3,2,55
2,2,3,3,2,2,2,4,2,2,1,1,3,4,3,1,1,3,3,3,2,3,1,1,2,3,2,1,1,2,2,1,,
3,3,1,2,3,2,3,3,4,2,1,0,3,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,2,47
5,5,,,1,,0,2,1,3,,,5,,,,4,4,4,4,4,4,,,,,2,,2,,,3,2,45
3,4,3,4,4,3,2,4,1,2,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
4,4,1,1,1,2,1,1,3,2,0,0,3,1,1,1,1,4,2,3,1,4,0,0,0,0,0,0,0,1,1,1,,
,4,,1,2,1,2,1,2,1,1,,4,3,3,,2,4,4,4,,2,1,2,1,1,2,1,1,3,3,3,,
0,1,0,1,1,2,1,1,2,1,0,0,2,1,1,1,0,1,1,1,0,2,0,0,1,0,1,1,1,2,2,2,2,60
,4,,1,1,4,2,3,2,2,0,1,1,1,,,,,4,3,0,3,0,,0,0,,0,0,,,,2,25
5,5,3,4,4,4,3,1,1,2,4,3,4,4,4,4,4,1,4,4,3,3,0,3,5,5,4,2,2,2,2,2,1,55
4,5,4,4,1,3,1,2,1,1,1,4,3,1,4,1,3,3,3,4,4,4,2,4,4,4,1,1,2,2,2,2,1,62
4,4,5,4,5,4,2,1,1,1,1,1,2,1,2,2,1,5,4,5,5,5,1,3,2,1,4,2,2,1,1,3,,
1,3,,,,2,1,1,3,3,,2,3,,,3,,4,3,2,,1,1,1,,,,0,1,1,1,,,
5,5,5,5,3,4,1,4,2,1,4,3,3,3,4,4,4,5,3,4,4,5,3,1,3,3,3,1,1,1,1,3,,
3,3,,2,1,3,2,1,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,3,2,1,53
4,5,5,5,2,3,1,5,0,1,4,4,4,4,4,4,4,4,4,4,4,4,2,2,3,3,4,2,4,4,4,4,,
5,3,,1,0,3,0,1,5,4,0,0,0,0,,,0,1,1,4,,1,0,0,,0,0,0,0,,,,2,31
5,3,,,0,4,0,0,2,1,0,0,0,0,0,0,0,2,4,3,,,0,,1,,0,0,1,,1,2,,
3,3,4,4,2,2,2,4,4,2,3,2,2,1,1,2,2,3,2,4,5,4,3,2,2,1,1,0,1,1,2,4,2,54
4,4,1,4,3,2,3,2,1,1,0,3,4,1,1,,1,1,4,4,4,5,1,1,0,0,1,0,0,0,0,1,2,55
4,4,4,4,0,0,1,1,0,1,2,2,1,1,2,,5,1,2,5,4,5,0,1,3,2,1,0,1,4,4,4,2,24
3,4,1,3,1,1,1,1,1,1,1,1,1,1,1,0,5,1,2,1,1,3,0,0,0,0,0,0,0,3,0,1,2,54
4,4,1,4,1,1,1,1,3,3,1,3,2,1,3,1,3,1,4,2,3,2,1,3,3,3,,2,3,3,,3,2,44
5,4,0,4,0,3,1,0,3,0,2,0,2,1,2,1,1,4,5,3,4,4,0,1,3,3,1,1,2,0,0,3,1,49
1,4,,0,1,3,2,2,4,3,0,,3,2,2,0,1,1,1,2,1,3,1,0,1,1,1,0,1,4,4,4,2,48
3,5,,,3,3,2,,0,1,,1,3,2,,3,2,1,5,5,,4,0,,0,0,1,,,,,2,,
1,3,1,1,1,4,0,4,1,1,1,1,0,1,1,1,1,1,1,2,1,2,1,2,1,0,,,,,,,,
5,5,4,3,0,1,0,0,0,1,2,1,1,1,2,0,0,4,5,4,5,5,0,2,3,3,2,2,3,2,1,1,2,46
3,3,,3,1,0,1,1,1,1,1,1,2,1,2,2,1,2,1,2,2,2,2,1,3,2,2,1,1,1,1,1,1,47
5,5,5,4,1,4,0,0,0,1,1,2,2,2,2,4,4,5,5,5,5,5,2,3,3,2,1,1,1,1,1,2,2,52
,,,,1,,1,,5,,0,0,,,,,0,0,0,3,3,4,0,,0,,0,0,0,,,,,
,3,,0,2,2,3,5,4,2,1,1,3,,,5,,3,1,1,2,3,1,,4,,,,2,,,,,
4,4,4,3,1,2,1,3,4,4,2,3,3,,,,,4,4,4,2,4,2,3,3,2,4,1,,4,3,4,1,50
5,5,2,1,2,1,1,1,1,1,1,1,1,1,1,3,3,4,4,4,1,4,1,1,0,0,3,1,1,2,1,3,1,33
5,4,,4,1,,0,1,1,,0,0,5,4,,,,5,5,5,,5,,,,,,,,,,4,2,45
3,5,3,3,4,3,1,1,2,1,2,2,3,2,2,2,2,5,4,4,3,3,2,3,1,1,2,2,2,3,3,3,1,52
5,5,5,5,3,3,1,0,5,0,4,2,4,1,2,4,5,5,5,5,5,5,1,0,1,1,1,1,1,0,0,1,,
5,5,3,1,3,4,1,1,3,0,,3,3,0,,3,1,4,,4,0,4,1,1,3,1,1,0,0,4,4,5,,
,4,3,3,2,2,2,4,3,4,0,1,3,,,,,1,1,0,0,0,0,,1,1,0,0,0,1,,1,2,45
4,5,3,5,4,5,5,5,5,5,2,3,3,1,1,4,3,3,5,5,5,5,5,2,3,1,2,1,1,5,5,5,,